Timestamp,Applicant Name,Score from 1 to 5 (1 is lowest)
2023-02-02 20:20:56.173,18A,5
2023-02-02 20:20:56.553,18A,5
2023-02-02 20:20:58.027,18A,5
2023-02-02 20:20:58.358,18A,4
2023-02-02 20:20:58.684,18A,5
2023-02-02 20:20:59.471,18A,5
2023-02-02 20:21:02.014,18A,4
2023-02-02 20:21:06.376,18A,5
2023-02-02 20:21:08.551,18A,5
2023-02-02 20:21:08.990,18A,5
2023-02-02 20:21:33.072,18A,5
2023-02-02 20:21:40.663,18A,5
2023-02-02 20:21:52.174,18A,5
2023-02-02 20:22:52.012,18A,4
2023-02-02 20:23:01.537,18A,5
2023-02-02 20:39:05.664,19A,2
2023-02-02 20:42:03.029,19A,3
2023-02-02 20:42:51.377,19A,4
2023-02-02 20:43:16.847,19A,3
2023-02-02 20:43:30.829,19A,3
2023-02-02 20:43:42.451,19A,4
2023-02-02 20:43:43.478,19A,4
2023-02-02 20:43:43.507,19A,5
2023-02-02 20:43:44.802,19A,3
2023-02-02 20:43:45.204,19A,4
2023-02-02 20:43:45.682,19A,4
2023-02-02 20:43:48.895,19A,3
2023-02-02 20:43:50.888,19A,4
2023-02-02 20:43:54.106,19A,4
2023-02-02 20:43:54.522,19A,4
2023-02-02 20:43:56.070,19A,3
2023-02-02 20:43:56.877,19A,4
2023-02-02 20:43:57.095,19A,4
2023-02-02 20:43:58.194,19A,2
2023-02-02 20:43:58.508,19A,3
2023-02-02 20:44:02.478,19A,3
2023-02-02 20:45:04.472,19A,3
2023-02-02 20:48:18.408,19A*,2
2023-02-02 20:50:10.546,19A*,4
2023-02-02 20:51:10.009,19A*,4
2023-02-02 20:51:11.721,19A*,4
2023-02-02 20:51:19.829,19A*,5
2023-02-02 20:51:20.236,19A*,3
2023-02-02 20:51:21.732,19A*,5
2023-02-02 20:51:24.112,19A*,4
2023-02-02 20:51:26.161,19A*,4
2023-02-02 20:51:26.739,19A*,4
2023-02-02 20:51:30.337,19A*,4
2023-02-02 20:51:30.840,19A*,4
2023-02-02 20:51:31.230,19A*,4
2023-02-02 20:51:31.424,19A*,4
2023-02-02 20:51:31.448,19A*,4
2023-02-02 20:51:32.218,19A*,4
2023-02-02 20:51:33.775,19A*,4
2023-02-02 20:51:33.777,19A*,4
2023-02-02 20:51:33.870,19A*,5
2023-02-02 20:51:34.017,19A*,5
2023-02-02 20:51:34.424,19A*,4
2023-02-02 20:51:35.784,19A*,4
2023-02-02 20:51:36.987,19A*,4
2023-02-02 20:51:48.378,19A*,4
2023-02-02 20:51:51.122,19A*,4
2023-02-02 20:51:52.658,19A*,4
2023-02-02 20:52:21.060,19A*,4
2023-02-02 20:53:50.357,19A*,3
2023-02-02 21:04:25.790,19A*,3
2023-02-02 20:28:03.210,20A,5
2023-02-02 20:32:03.216,20A,4
2023-02-02 20:32:11.410,20A,5
2023-02-02 20:32:22.717,20A,2
2023-02-02 20:32:24.824,20A,3
