Applicant Name,Case Interview Score,Score from 1 to 5 (1 is lowest)
21A,4.0,4.0
21A,4.0,3.0
21A,4.0,2.0
21A,4.0,3.0
21A,4.0,4.0
21A,4.0,4.0
21A,4.0,5.0
21A,4.0,4.0
21A,4.0,3.0
21A,4.0,2.0
21A,4.0,4.0
21A,4.0,5.0
21A,4.0,2.0
21A,4.0,5.0
21A,4.0,4.0
21A,4.0,5.0
21A,4.0,4.0
21A,4.0,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
29A,4.38,3.0
29A,4.38,2.0
29A,4.38,3.0
29A,4.38,5.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,3.0
29A,4.38,4.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,3.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,4.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,4.0
25A,4.79,2.0
25A,4.79,2.0
25A,4.79,3.0
25A,4.79,2.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,4.0
25A,4.79,3.0
25A,4.79,4.0
25A,4.79,3.0
25A,4.79,4.0
25A,4.79,2.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,2.0
25A,4.79,3.0
25A,4.79,5.0
25A,4.79,4.0
25A,4.79,4.0
25A,4.79,3.0
25A,4.79,4.0
25A,4.79,4.0
25A,4.79,4.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,2.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,2.0
26A,3.54,3.0
26A,3.54,2.0
26A,3.54,2.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,2.0
22A,3.33,3.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,3.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,5.0
28A,3.54,5.0
28A,3.54,3.0
28A,3.54,3.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,3.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,3.0
28A,3.54,4.0
28A,3.54,5.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,1.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,1.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,4.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,4.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,3.0
22A,3.33,1.0
22A,3.33,4.0
22A,3.33,4.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,1.0
22A,3.33,3.0
22A,3.33,5.0
22A,3.33,4.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,2.0
22A,3.33,2.0
22A,3.33,4.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,3.0
