,raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,alt,fastestLapSpeed
10258,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10259,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10260,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10261,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10262,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10263,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10264,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10265,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10266,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10267,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10268,418,1986,15,32,Mexican Grand Prix,1986-10-12,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2227.0,
10269,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10270,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10271,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10272,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10273,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10274,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10275,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10276,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10277,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10278,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10279,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10280,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10281,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10282,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10283,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10284,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10285,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10286,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
10287,419,1986,16,29,Australian Grand Prix,1986-10-26,\N,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58.0,
